,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 61747: Summary level: 860, zip code tabulation area:61747",39574.0,87426,33.8,19.5,3.3,1439,123,64,98,31,50,73,97,97,71,63,108,133,80,84,42,83,27,115,99.0,0.4,0.0,0.0,1.0,61747
"ZCTA5 61743: Summary level: 860, zip code tabulation area:61743",29063.0,72108,32.6,25.0,5.3,186,2,14,16,10,0,19,14,18,10,8,20,5,6,25,1,8,2,8,92.5,5.9,0.0,0.0,0.0,61743
"ZCTA5 61744: Summary level: 860, zip code tabulation area:61744",35375.0,76651,32.6,18.6,1.8,1923,155,178,121,172,88,127,141,103,83,84,109,131,120,125,35,68,45,38,94.7,2.6,0.0,0.0,4.5,61744
"ZCTA5 60473: Summary level: 860, zip code tabulation area:60473",29779.0,78083,25.1,15.3,12.7,22088,1048,1600,1710,1593,1307,1636,948,1362,1039,1520,1499,1426,1712,1164,798,567,552,607,14.5,82.6,0.0,0.3,4.6,60473
"ZCTA5 60433: Summary level: 860, zip code tabulation area:60433",24993.0,61675,39.2,6.8,9.6,16398,948,1054,1062,1172,1254,1094,1240,1005,887,1280,1111,984,726,729,656,435,373,388,54.1,30.5,0.7,0.3,36.9,60433
"ZCTA5 60451: Summary level: 860, zip code tabulation area:60451",47721.0,125365,24.7,24.8,4.1,35622,2162,2402,2623,2606,2339,1931,1975,2372,2270,2516,3008,3193,2186,1415,1259,649,421,295,95.8,0.6,0.1,0.9,6.0,60451
"ZCTA5 60456: Summary level: 860, zip code tabulation area:60456",30935.0,56334,33.1,9.2,5.4,4272,309,162,341,239,330,235,318,363,182,242,472,209,283,233,137,69,82,66,93.1,1.1,0.2,0.9,26.2,60456
"ZCTA5 60476: Summary level: 860, zip code tabulation area:60476",35279.0,71506,42.1,14.3,5.6,2550,62,99,142,187,156,229,144,128,173,195,125,178,264,138,100,84,87,59,76.1,18.6,0.0,1.5,13.9,60476
"ZCTA5 60477: Summary level: 860, zip code tabulation area:60477",37591.0,85106,28.5,20.9,6.2,37542,2498,2087,2108,2041,1929,2481,3382,2450,1867,1877,2315,3027,2751,2175,1527,1194,808,1025,87.3,5.6,0.0,2.5,10.7,60477
"ZCTA5 60517: Summary level: 860, zip code tabulation area:60517",42652.0,102518,16.7,31.9,3.7,32390,1990,1664,2083,1712,2366,2558,2204,2210,2324,2383,2026,2578,2335,1714,1196,511,309,227,73.5,8.9,0.2,11.7,15.1,60517
"ZCTA5 60518: Summary level: 860, zip code tabulation area:60518",28977.0,70887,41.6,9.5,6.6,3715,233,216,251,286,193,220,160,181,214,242,305,330,317,175,152,95,92,53,93.3,2.2,0.1,0.0,9.4,60518
"ZCTA5 60523: Summary level: 860, zip code tabulation area:60523",49053.0,184462,15.2,30.0,3.9,10081,320,409,488,475,295,233,277,312,594,476,653,644,650,1011,1097,943,608,596,65.1,3.7,0.0,28.2,3.2,60523
"ZCTA5 60531: Summary level: 860, zip code tabulation area:60531",32944.0,79672,35.5,15.8,4.7,1792,97,104,97,90,64,140,79,133,121,100,167,146,144,138,57,56,24,35,97.9,0.0,0.0,0.0,10.2,60531
"ZCTA5 60542: Summary level: 860, zip code tabulation area:60542",42166.0,104083,21.2,22.3,3.4,18191,916,961,1271,1188,979,1126,1237,1092,1284,1674,1247,1527,1208,1050,552,460,260,159,81.3,4.9,0.3,5.0,14.8,60542
"ZCTA5 60545: Summary level: 860, zip code tabulation area:60545",32468.0,87285,29.5,19.2,6.1,13699,1138,1513,710,761,543,947,1271,1251,876,984,587,1029,648,407,491,366,75,102,76.8,9.4,0.3,0.6,27.8,60545
"ZCTA5 60551: Summary level: 860, zip code tabulation area:60551",24205.0,85647,32.4,5.1,6.6,5284,94,137,300,230,495,746,375,365,426,463,475,365,209,276,180,103,23,22,75.4,21.8,0.6,0.2,7.0,60551
"ZCTA5 60564: Summary level: 860, zip code tabulation area:60564",61596.0,174780,9.1,39.7,3.5,42425,2446,3143,3762,3684,2307,1258,2068,2842,3607,3946,4126,3162,2224,1486,985,676,395,308,63.1,6.1,0.2,27.7,4.0,60564
"ZCTA5 60604: Summary level: 860, zip code tabulation area:60604",72333.0,165259,0.0,28.5,7.5,823,10,0,7,56,161,127,141,18,26,29,39,52,85,18,21,24,9,0,64.6,5.0,0.0,29.2,3.4,60604
"ZCTA5 60612: Summary level: 860, zip code tabulation area:60612",25737.0,69562,23.0,20.9,9.9,33735,2255,1945,2211,2300,3004,3452,3400,2521,2411,1609,1878,1817,1607,1235,760,603,531,196,29.4,59.6,0.2,4.4,12.0,60612
"ZCTA5 60613: Summary level: 860, zip code tabulation area:60613",56217.0,121260,7.7,45.0,3.0,50761,2726,1328,1245,687,5490,8445,7514,5801,2780,2754,2506,2553,2028,1381,1276,804,503,940,81.7,6.0,0.1,7.0,11.1,60613
"ZCTA5 60617: Summary level: 860, zip code tabulation area:60617",24162.0,56362,32.5,11.6,14.5,83553,5372,5690,6600,6938,6208,5913,4382,4608,4995,5287,5189,5615,4178,3281,3093,2545,1999,1660,36.9,56.7,0.2,0.3,37.2,60617
"ZCTA5 60618: Summary level: 860, zip code tabulation area:60618",39271.0,114178,18.0,30.2,3.5,94907,6642,6266,5414,3999,5289,9937,11041,9276,7824,6838,5010,4713,3959,2888,2235,1579,960,1037,76.3,2.9,0.2,6.2,40.3,60618
"ZCTA5 60624: Summary level: 860, zip code tabulation area:60624",16725.0,38311,33.8,6.2,20.1,34892,2839,2891,2708,2844,2507,2849,2086,2072,2384,1738,1926,2041,1969,1400,739,846,634,419,4.5,90.7,0.0,0.2,5.1,60624
"ZCTA5 60626: Summary level: 860, zip code tabulation area:60626",27826.0,59984,18.7,26.7,5.5,50544,2851,2899,2046,3112,4919,5205,5260,4176,3330,3444,3181,2777,2387,1579,1336,623,632,787,57.0,27.2,0.1,5.4,19.6,60626
"ZCTA5 60630: Summary level: 860, zip code tabulation area:60630",35562.0,92124,25.6,25.3,4.8,56433,3111,3248,3172,2817,2842,3793,4132,4668,3979,3990,4313,3950,3731,2923,1976,1364,1089,1335,70.7,1.7,0.3,11.2,28.5,60630
"ZCTA5 60632: Summary level: 860, zip code tabulation area:60632",24267.0,60088,39.1,8.6,10.2,89857,6734,7505,7289,6951,6733,8286,6432,6319,6025,5215,4799,4264,3921,2876,2956,1818,689,1045,52.5,1.9,1.0,6.9,83.0,60632
"ZCTA5 60645: Summary level: 860, zip code tabulation area:60645",30141.0,82065,21.0,27.6,7.3,47270,4422,3241,3216,3183,1956,3830,3422,3133,3291,2735,3429,2418,2649,2033,1489,989,929,905,54.6,15.4,0.2,17.9,17.6,60645
"ZCTA5 60653: Summary level: 860, zip code tabulation area:60653",22439.0,59337,22.1,20.0,15.7,33154,2902,2356,2543,2140,1896,2494,2583,2177,2020,2191,1539,2141,1933,1419,934,908,536,442,6.0,89.3,0.5,1.3,2.8,60653
"ZCTA5 60506: Summary level: 860, zip code tabulation area:60506",28414.0,79114,25.6,15.5,5.4,55542,3527,4203,4253,4703,4158,3525,3643,4229,3487,3717,3487,3187,2769,2319,1716,1026,875,718,64.4,13.0,0.5,3.3,40.3,60506
"ZCTA5 60511: Summary level: 860, zip code tabulation area:60511",44750.0,109306,30.7,18.6,6.0,1805,103,166,76,106,95,155,113,108,53,58,95,125,203,128,102,46,42,31,97.5,0.4,0.8,0.0,2.8,60511
"ZCTA5 60519: Summary level: 860, zip code tabulation area:60519",-666666666.0,-999999999,58.3,41.7,0.0,24,0,0,0,0,0,0,0,0,0,10,0,0,7,7,0,0,0,0,100.0,0.0,0.0,0.0,0.0,60519
"ZCTA5 60520: Summary level: 860, zip code tabulation area:60520",36950.0,89477,27.2,17.9,4.8,2855,163,169,273,178,149,183,195,178,156,135,211,273,182,168,135,50,33,24,96.4,0.0,0.0,0.6,4.3,60520
"ZCTA5 60521: Summary level: 860, zip code tabulation area:60521",72399.0,299666,5.9,37.6,3.1,18415,997,1435,1928,1770,534,439,573,844,1373,1574,1562,1495,1191,1047,619,434,294,306,85.2,1.4,0.0,10.7,3.7,60521
"ZCTA5 60525: Summary level: 860, zip code tabulation area:60525",41575.0,136656,19.7,28.8,4.1,30474,1700,1871,2614,1862,1228,966,1750,1894,1711,2377,2329,2228,2084,1681,1307,1023,933,916,88.9,4.3,0.0,1.1,13.3,60525
"ZCTA5 60536: Summary level: 860, zip code tabulation area:60536",34375.0,82906,50.5,9.7,12.8,139,9,11,9,7,10,2,22,17,1,8,10,8,10,0,2,6,5,2,100.0,0.0,0.0,0.0,0.0,60536
"ZCTA5 60541: Summary level: 860, zip code tabulation area:60541",36615.0,102001,31.6,15.0,2.6,3667,338,303,208,235,163,221,410,250,183,143,233,315,323,163,84,43,27,25,97.8,1.1,0.0,0.2,3.3,60541
"ZCTA5 60543: Summary level: 860, zip code tabulation area:60543",40696.0,119147,16.6,26.9,3.6,40293,2304,3318,3191,3319,2801,1961,2094,2420,3648,3291,3631,2435,1575,1546,975,923,370,491,82.7,5.1,0.1,4.3,17.1,60543
"ZCTA5 60550: Summary level: 860, zip code tabulation area:60550",31882.0,72618,37.6,13.1,1.8,1553,65,22,97,101,88,93,46,66,102,138,158,133,95,97,74,61,35,82,96.8,0.3,0.0,0.2,2.1,60550
"ZCTA5 60559: Summary level: 860, zip code tabulation area:60559",39058.0,93779,20.5,26.1,3.5,24384,1707,1320,1274,1353,1270,1886,1983,1758,1229,1582,1687,1849,1554,1423,874,680,424,531,71.4,7.0,0.0,14.8,13.9,60559
"ZCTA5 60654: Summary level: 860, zip code tabulation area:60654",85968.0,178523,3.5,47.4,2.1,20022,973,349,127,81,1124,4364,4023,1948,1575,1148,1281,809,890,587,351,188,161,43,75.9,5.4,0.0,14.3,5.8,60654
"ZCTA5 60657: Summary level: 860, zip code tabulation area:60657",61577.0,143290,4.0,47.4,3.0,70958,3875,2278,2031,1157,8387,14932,10435,6637,3569,3567,3301,2546,2541,1988,1442,716,827,729,86.0,3.0,0.1,7.0,7.6,60657
"ZCTA5 60659: Summary level: 860, zip code tabulation area:60659",25939.0,72497,21.3,22.6,6.9,42735,3272,3189,3301,2162,2994,3175,3421,3346,2763,2736,2352,2821,2100,1884,1378,853,305,683,52.4,8.3,1.2,27.8,20.8,60659
"ZCTA5 60707: Summary level: 860, zip code tabulation area:60707",29958.0,82268,29.0,17.1,5.9,43093,2331,2705,2306,2641,3032,2719,2738,2757,3083,2922,2990,3191,2699,2570,1663,1163,751,832,72.3,7.1,0.5,3.6,39.1,60707
"ZCTA5 60714: Summary level: 860, zip code tabulation area:60714",29769.0,84055,28.5,24.5,4.6,29520,1506,1106,1227,1574,1502,1977,1688,1300,1855,1513,2577,2196,2085,1608,1445,1159,1208,1994,72.5,3.2,0.2,19.9,9.0,60714
"ZCTA5 60804: Summary level: 860, zip code tabulation area:60804",25915.0,62672,34.1,7.4,5.3,82383,5098,6739,7584,6935,7790,6441,5603,5943,5965,5432,4774,4252,3274,2433,1592,981,736,811,34.2,3.5,0.4,0.7,89.6,60804
"ZCTA5 60946: Summary level: 860, zip code tabulation area:60946",37813.0,85568,42.4,6.5,1.1,404,41,10,40,12,25,8,31,50,24,27,14,22,39,10,24,4,14,9,98.8,0.0,1.2,0.0,0.2,60946
"ZCTA5 60952: Summary level: 860, zip code tabulation area:60952",30938.0,78402,36.3,13.5,8.3,657,42,78,49,35,31,19,56,37,36,37,26,47,74,33,23,11,13,10,97.3,0.0,0.5,0.9,4.6,60952
"ZCTA5 60955: Summary level: 860, zip code tabulation area:60955",27143.0,77597,35.1,10.7,8.2,1655,47,102,144,158,92,78,100,86,97,123,80,116,120,93,81,106,25,7,77.4,2.1,0.0,0.1,33.6,60955
"ZCTA5 60962: Summary level: 860, zip code tabulation area:60962",22407.0,55226,45.8,8.3,5.3,539,54,24,31,53,52,16,34,32,38,25,38,52,31,18,12,15,6,8,96.1,0.7,0.0,0.0,3.0,60962
"ZCTA5 60929: Summary level: 860, zip code tabulation area:60929",29635.0,53987,49.6,8.2,4.3,707,39,73,30,42,49,72,47,28,23,29,45,44,62,38,31,20,23,12,95.8,0.0,0.0,0.0,2.5,60929
"ZCTA5 60056: Summary level: 860, zip code tabulation area:60056",41129.0,102767,21.0,28.6,4.1,54524,4025,3564,3134,2841,2301,3250,3495,4244,3894,3693,3743,3704,3212,2775,2326,1647,1384,1292,76.8,3.1,0.6,12.2,14.9,60056
"ZCTA5 60193: Summary level: 860, zip code tabulation area:60193",41348.0,96574,22.5,28.1,3.1,39646,2548,2474,2481,1999,1663,2512,2239,3180,2699,2595,2770,2932,2693,2417,1785,1188,860,611,72.2,3.2,1.1,17.1,10.1,60193
"ZCTA5 60464: Summary level: 860, zip code tabulation area:60464",44011.0,125935,19.6,26.6,6.3,9662,329,606,596,506,300,317,328,455,536,603,634,751,916,777,628,352,477,551,91.7,1.6,0.0,1.4,6.1,60464
"ZCTA5 60030: Summary level: 860, zip code tabulation area:60030",41825.0,111015,20.0,29.2,5.1,36125,1905,1958,2232,2412,2594,1919,2213,2269,2038,2570,2679,2961,2569,1653,1515,1356,667,615,85.9,2.6,0.1,5.1,11.3,60030
"ZCTA5 60107: Summary level: 860, zip code tabulation area:60107",33257.0,91660,29.4,19.3,3.6,39894,2009,2514,2341,2746,2346,2949,2801,3072,3012,2649,3174,3021,2469,1733,1217,821,627,393,64.0,4.1,0.4,13.9,36.0,60107
"ZCTA5 60143: Summary level: 860, zip code tabulation area:60143",44030.0,115671,25.6,26.0,3.2,11222,533,574,689,399,592,737,624,890,401,781,938,809,1065,748,503,460,229,250,87.1,2.3,0.1,6.8,11.7,60143
"ZCTA5 61764: Summary level: 860, zip code tabulation area:61764",28220.0,64777,42.6,8.9,5.8,13732,598,769,965,763,641,1072,982,913,898,726,1224,1013,905,730,480,340,283,430,87.1,9.5,0.0,1.4,5.3,61764
"ZCTA5 61749: Summary level: 860, zip code tabulation area:61749",29423.0,65899,46.3,12.7,9.9,535,8,11,22,23,37,44,8,22,71,28,17,38,82,50,41,9,13,11,98.5,0.6,0.0,0.0,0.2,61749
"ZCTA5 61752: Summary level: 860, zip code tabulation area:61752",39153.0,87899,38.4,21.5,3.7,4346,232,272,310,299,156,128,261,344,232,234,316,341,333,274,232,147,138,97,99.5,0.0,0.0,0.0,0.0,61752
"ZCTA5 61761: Summary level: 860, zip code tabulation area:61761",24470.0,77132,20.8,30.4,2.9,55152,2589,2732,2839,6430,13192,3789,2788,3089,2375,2573,2429,2139,2604,1761,1089,860,712,1162,81.8,10.7,0.2,4.3,5.3,61761
"ZCTA5 61770: Summary level: 860, zip code tabulation area:61770",35820.0,71832,47.7,17.3,5.0,1046,48,73,83,62,28,80,50,35,72,64,84,137,57,61,23,27,29,33,98.4,0.0,0.0,0.0,3.3,61770
"ZCTA5 61802: Summary level: 860, zip code tabulation area:61802",30772.0,69026,24.1,19.1,5.8,19509,1110,828,1033,1060,1753,1830,1306,1114,1218,739,1074,1419,1464,1211,947,568,320,515,72.1,15.4,0.5,7.2,6.8,61802
"ZCTA5 61811: Summary level: 860, zip code tabulation area:61811",21641.0,51651,40.2,8.3,3.6,709,37,57,42,57,24,46,23,40,40,51,17,29,49,75,69,7,19,27,93.5,0.0,0.7,0.0,0.1,61811
"ZCTA5 61841: Summary level: 860, zip code tabulation area:61841",35865.0,67877,49.1,9.9,3.7,1278,67,65,76,106,63,95,87,113,76,59,61,79,49,119,86,53,13,11,99.3,0.4,0.0,0.0,1.0,61841
"ZCTA5 61842: Summary level: 860, zip code tabulation area:61842",30000.0,71917,29.5,17.2,3.2,2765,192,137,114,158,84,97,185,218,67,148,199,308,269,188,166,101,75,59,96.5,0.0,0.0,0.0,0.5,61842
"ZCTA5 61847: Summary level: 860, zip code tabulation area:61847",37303.0,81443,39.4,12.3,1.9,1365,70,113,88,60,47,80,63,95,69,109,113,68,62,88,25,72,66,77,98.2,1.6,0.1,0.0,1.0,61847
"ZCTA5 61876: Summary level: 860, zip code tabulation area:61876",31897.0,64520,48.2,7.7,1.3,636,65,42,24,22,31,40,54,18,13,32,40,60,45,46,15,56,17,16,98.7,0.0,0.0,0.6,0.8,61876
"ZCTA5 61911: Summary level: 860, zip code tabulation area:61911",29961.0,83447,24.9,10.3,2.1,5330,429,402,561,476,334,283,340,283,296,203,230,228,274,282,204,179,192,134,98.8,0.1,0.3,0.2,1.2,61911
"ZCTA5 61920: Summary level: 860, zip code tabulation area:61920",20803.0,69780,24.9,19.4,5.2,23839,921,1095,1103,2528,4707,1935,1688,1187,1102,1073,1209,1322,1057,924,655,519,346,468,88.3,7.0,0.3,2.3,3.5,61920
"ZCTA5 61937: Summary level: 860, zip code tabulation area:61937",31566.0,60971,52.3,10.4,5.3,1967,141,155,94,82,174,81,143,114,129,141,166,161,121,60,84,58,35,28,95.1,2.6,1.3,0.0,1.3,61937
"ZCTA5 61953: Summary level: 860, zip code tabulation area:61953",32484.0,77846,29.1,16.6,3.2,6019,361,352,416,396,340,342,413,394,451,418,359,336,446,177,264,165,201,188,97.1,0.1,0.0,1.5,3.2,61953
"ZCTA5 61606: Summary level: 860, zip code tabulation area:61606",15048.0,67451,19.9,23.4,4.6,7919,539,282,335,1050,2858,559,252,271,248,238,284,188,283,261,129,74,30,38,69.2,21.8,0.0,3.4,4.5,61606
"ZCTA5 61615: Summary level: 860, zip code tabulation area:61615",42913.0,102561,19.2,26.7,5.3,23219,1533,1554,1667,1317,817,2128,1881,1297,1219,1463,1169,1545,1651,1417,992,718,363,488,71.7,12.2,1.0,9.7,6.3,61615
"ZCTA5 62338: Summary level: 860, zip code tabulation area:62338",37606.0,78163,43.8,16.6,10.4,1401,32,127,129,122,78,52,62,120,79,92,86,89,92,24,30,129,31,27,100.0,0.0,0.0,0.0,0.0,62338
"ZCTA5 62341: Summary level: 860, zip code tabulation area:62341",29624.0,75141,30.7,17.2,8.0,3425,96,195,208,217,320,199,92,159,138,292,222,280,233,242,209,78,115,130,97.3,0.1,0.0,0.9,0.0,62341
"ZCTA5 62345: Summary level: 860, zip code tabulation area:62345",25972.0,64729,39.6,15.9,4.6,382,33,5,26,23,12,26,18,18,13,39,20,26,15,29,11,41,14,13,99.2,0.0,0.0,0.3,0.0,62345
"ZCTA5 62351: Summary level: 860, zip code tabulation area:62351",32074.0,68772,35.5,18.4,5.5,1708,87,177,83,97,56,95,104,56,92,148,162,152,55,77,141,48,31,47,98.7,1.3,0.0,0.0,3.7,62351
"ZCTA5 62352: Summary level: 860, zip code tabulation area:62352",20714.0,45103,53.4,4.7,0.0,289,17,14,28,14,23,21,16,6,1,22,17,31,8,13,29,20,9,0,93.1,0.0,6.2,0.0,1.4,62352
"ZCTA5 62353: Summary level: 860, zip code tabulation area:62353",29990.0,68858,35.8,10.4,4.1,5224,248,209,283,199,508,512,452,566,327,368,358,355,252,173,123,137,57,97,74.5,24.3,0.2,0.0,7.2,62353
"ZCTA5 62358: Summary level: 860, zip code tabulation area:62358",27434.0,73588,35.8,14.9,2.2,779,67,136,75,47,32,34,31,44,24,37,34,57,30,41,40,14,31,5,90.1,0.0,0.0,0.0,0.0,62358
"ZCTA5 62990: Summary level: 860, zip code tabulation area:62990",20638.0,54753,40.2,9.5,11.3,1036,131,106,148,49,15,38,45,34,34,46,36,57,65,62,74,70,13,13,85.9,12.9,0.4,0.0,0.0,62990
"ZCTA5 62976: Summary level: 860, zip code tabulation area:62976",30701.0,43630,23.3,14.6,0.6,402,19,9,24,54,9,37,11,30,3,10,77,14,35,20,19,13,5,13,43.5,44.5,0.0,0.0,1.0,62976
"ZCTA5 62977: Summary level: 860, zip code tabulation area:62977",30208.0,70033,33.3,14.4,3.8,754,86,48,60,54,49,49,23,71,61,21,40,50,55,20,31,11,6,19,98.7,0.0,0.0,0.0,1.2,62977
"ZCTA5 62982: Summary level: 860, zip code tabulation area:62982",21703.0,54455,22.5,5.8,11.3,877,45,55,54,64,24,46,28,41,76,62,62,67,65,82,22,21,58,5,100.0,0.0,0.0,0.0,0.7,62982
"ZCTA5 62992: Summary level: 860, zip code tabulation area:62992",19917.0,56108,32.2,20.5,5.0,751,11,21,86,74,22,36,18,43,81,46,49,91,37,46,21,36,28,5,70.3,29.0,0.0,0.0,4.8,62992
"ZCTA5 62995: Summary level: 860, zip code tabulation area:62995",27136.0,60975,31.7,8.2,3.4,6034,276,291,226,226,479,566,529,527,374,417,431,453,291,320,202,162,72,192,76.0,23.2,0.0,0.2,5.5,62995
"ZCTA5 62441: Summary level: 860, zip code tabulation area:62441",34011.0,82432,43.8,12.1,7.3,6707,437,336,332,452,301,404,411,402,307,404,481,469,549,451,306,371,123,171,95.8,0.1,0.0,1.2,2.7,62441
"ZCTA5 62447: Summary level: 860, zip code tabulation area:62447",27972.0,66330,39.0,12.4,3.4,3366,229,183,265,150,195,127,221,180,206,226,271,221,179,273,147,106,68,119,96.8,0.0,0.1,0.8,1.9,62447
"ZCTA5 62462: Summary level: 860, zip code tabulation area:62462",26316.0,60399,41.5,14.0,2.1,942,119,88,52,27,35,35,104,90,69,22,64,46,22,39,59,25,20,26,98.8,0.0,0.0,0.5,0.0,62462
"ZCTA5 62466: Summary level: 860, zip code tabulation area:62466",17159.0,60458,34.1,7.1,7.1,4605,217,118,157,135,478,578,604,354,272,324,213,400,254,259,145,59,15,23,69.7,26.9,0.2,0.2,10.1,62466
"ZCTA5 62475: Summary level: 860, zip code tabulation area:62475",16500.0,52545,33.3,11.8,0.0,503,84,14,10,10,64,54,23,23,0,30,22,45,97,19,8,0,0,0,98.0,2.0,0.0,0.0,0.0,62475
"ZCTA5 62513: Summary level: 860, zip code tabulation area:62513",29552.0,67203,44.5,10.4,3.5,1724,94,146,229,109,81,75,79,90,97,131,174,92,60,104,39,62,46,16,92.9,0.2,0.3,0.8,0.4,62513
"ZCTA5 62514: Summary level: 860, zip code tabulation area:62514",44375.0,88014,43.9,2.7,13.1,305,42,23,22,10,21,12,25,24,24,26,35,14,18,0,4,5,0,0,100.0,0.0,0.0,0.0,0.0,62514
"ZCTA5 62517: Summary level: 860, zip code tabulation area:62517",25750.0,57535,47.1,2.2,14.0,214,6,19,12,29,12,25,3,18,17,20,10,6,7,10,5,8,5,2,98.6,0.0,0.0,1.4,2.8,62517
"ZCTA5 62518: Summary level: 860, zip code tabulation area:62518",42917.0,57709,45.3,0.0,0.0,159,0,12,0,0,10,18,13,0,0,9,7,13,37,24,7,0,0,9,100.0,0.0,0.0,0.0,0.0,62518
"ZCTA5 62535: Summary level: 860, zip code tabulation area:62535",46960.0,123701,16.8,31.3,2.7,3011,284,222,117,239,165,56,124,223,214,195,141,217,194,157,127,112,111,113,82.7,1.6,0.0,11.9,3.1,62535
"ZCTA5 62544: Summary level: 860, zip code tabulation area:62544",35098.0,87812,43.9,15.4,2.3,1677,112,122,63,97,86,115,105,58,80,112,145,105,154,96,102,50,44,31,93.9,0.5,0.0,0.0,0.3,62544
"ZCTA5 62547: Summary level: 860, zip code tabulation area:62547",31547.0,74174,49.5,10.5,4.0,992,31,62,165,36,33,53,41,86,107,59,57,52,62,31,18,69,15,15,97.8,0.4,0.0,0.2,0.0,62547
"ZCTA5 62550: Summary level: 860, zip code tabulation area:62550",30662.0,75348,36.9,14.0,2.2,2790,134,173,200,232,102,125,145,131,180,214,183,240,157,203,116,103,75,77,98.2,0.5,0.0,0.3,0.4,62550
"ZCTA5 62001: Summary level: 860, zip code tabulation area:62001",36913.0,86192,32.6,23.4,3.4,1669,121,61,81,89,73,99,150,87,63,47,83,215,125,56,84,136,56,43,99.9,0.0,0.0,0.0,0.5,62001
"ZCTA5 62006: Summary level: 860, zip code tabulation area:62006",38750.0,80105,38.5,18.2,0.0,442,10,12,34,21,30,31,2,45,23,40,12,18,41,39,21,8,40,15,100.0,0.0,0.0,0.0,0.0,62006
"ZCTA5 62013: Summary level: 860, zip code tabulation area:62013",31618.0,82519,47.8,4.4,5.8,619,0,28,39,42,12,73,28,20,61,23,37,56,57,28,28,42,27,18,100.0,0.0,0.0,0.0,0.3,62013
"ZCTA5 62019: Summary level: 860, zip code tabulation area:62019",36375.0,54420,43.2,13.9,11.3,298,19,3,0,14,3,16,7,24,3,41,37,32,31,51,3,9,2,3,96.3,0.0,1.3,2.3,0.0,62019
"ZCTA5 62023: Summary level: 860, zip code tabulation area:62023",35417.0,102834,35.7,15.7,4.0,124,10,10,12,16,6,6,7,9,6,9,9,9,4,9,2,0,0,0,87.1,0.0,0.0,1.6,0.0,62023
"ZCTA5 62024: Summary level: 860, zip code tabulation area:62024",29901.0,67295,36.1,17.4,7.1,9799,736,419,568,424,592,705,1076,380,471,669,525,686,545,757,553,335,193,165,93.9,3.3,0.0,1.1,1.0,62024
"ZCTA5 62033: Summary level: 860, zip code tabulation area:62033",26613.0,66710,44.0,10.1,6.3,4539,322,379,163,145,167,287,376,185,301,219,341,318,458,315,194,120,112,137,94.9,0.3,0.4,2.3,2.3,62033
"ZCTA5 62037: Summary level: 860, zip code tabulation area:62037",29915.0,72116,41.2,4.6,4.7,1990,125,70,56,166,64,128,105,61,141,131,178,147,155,159,104,73,79,48,96.8,1.7,0.0,0.0,0.5,62037
"ZCTA5 62044: Summary level: 860, zip code tabulation area:62044",32458.0,71154,43.5,17.2,3.9,2262,90,201,120,124,123,51,105,151,114,194,103,272,133,127,87,110,114,43,99.5,0.0,0.0,0.0,0.2,62044
"ZCTA5 62339: Summary level: 860, zip code tabulation area:62339",35268.0,71123,37.9,12.6,1.9,829,45,51,48,54,35,38,23,38,69,74,90,39,36,33,32,55,36,33,96.0,0.0,0.0,0.0,0.2,62339
"ZCTA5 62223: Summary level: 860, zip code tabulation area:62223",31513.0,76453,25.2,20.0,5.3,16004,838,992,733,866,753,977,1039,786,1096,876,1322,1206,1350,852,869,557,493,399,73.9,23.2,0.0,0.4,3.1,62223
"ZCTA5 62225: Summary level: 860, zip code tabulation area:62225",31656.0,84055,12.2,24.8,3.6,5209,586,662,468,453,765,446,492,438,226,457,103,58,21,23,11,0,0,0,67.0,25.0,0.0,1.6,5.0,62225
"ZCTA5 62239: Summary level: 860, zip code tabulation area:62239",24663.0,57351,48.8,8.1,8.6,4595,169,230,263,431,251,205,202,347,375,280,387,264,289,248,296,234,18,106,95.1,4.4,0.5,0.0,2.9,62239
"ZCTA5 62243: Summary level: 860, zip code tabulation area:62243",37451.0,96714,23.4,19.5,4.7,5757,159,411,474,298,164,328,223,376,363,356,374,602,455,296,218,240,188,232,96.0,0.2,0.1,1.2,2.2,62243
"ZCTA5 62216: Summary level: 860, zip code tabulation area:62216",39597.0,98072,33.1,21.3,2.9,2736,179,143,181,186,96,241,172,230,159,203,154,169,232,137,120,44,34,56,98.9,0.3,0.0,0.3,1.2,62216
"ZCTA5 62220: Summary level: 860, zip code tabulation area:62220",32522.0,69828,27.0,17.1,6.5,17722,934,1041,1051,1116,1065,1364,1489,1345,996,1042,1046,1325,1184,815,766,403,387,353,73.5,20.5,0.6,0.6,3.5,62220
"ZCTA5 62258: Summary level: 860, zip code tabulation area:62258",38471.0,92295,27.5,18.0,4.0,9491,494,781,972,493,503,401,536,890,633,755,557,658,537,481,335,203,176,86,92.1,3.2,0.5,1.2,3.4,62258
"ZCTA5 62230: Summary level: 860, zip code tabulation area:62230",33523.0,83094,26.1,15.1,1.4,6308,525,231,357,340,289,431,482,511,259,271,484,549,497,300,243,151,133,255,96.4,0.1,0.0,1.4,1.4,62230
